Protein_IDs,Gene_names,Protein_names,logFC,AveExpr,mean_3P,mean_SIC,t,P.Value,adj.P.Val,B,Significant,Regulation,FoldChange
Q8TB73,NDNF,Protein NDNF,6.565243442139611,-1.1371045161961593,-4.419726237265965,2.1455172048736464,50.07134563233776,6.004866759390382e-08,0.0001929605130845946,-0.5679886838091234,True,Up,94.69677849495818
P29373,CRABP2,Cellular retinoic acid-binding protein 2,5.805437488782162,1.0293216322393621,-1.873397112151719,3.932040376630443,47.95933429115844,7.445900562785823e-08,0.0001929605130845946,-0.7277870058166244,True,Up,55.92562188331546
O15061,SYNM,Synemin,-4.898659035979911,0.8840228381520335,3.333352356141989,-1.5653066798379218,-39.308958349509275,2.0083505458678985e-07,0.00034697602930777727,-0.6696519379502589,True,Down,0.03352406635852736
Q9NZI8,IGF2BP1,Insulin-like growth factor 2 mRNA-binding protein 1,2.8909988356917053,4.269681425205386,2.8241820073595334,5.715180843051239,32.42090806848478,5.245190632940933e-07,0.0005008936361091358,-1.3390729898398495,True,Up,7.417838385011161
Q9H9Z2,LIN28A,Protein lin-28 homolog A,7.531587628509579,-0.6532561898774019,-4.419050004132191,3.1125376243773872,31.051068521201795,6.502900513627452e-07,0.0005008936361091358,0.6622752190620744,True,Up,185.0264392703059
Q9HCM2,PLXNA4,Plexin-A4,-4.357817818953568,-2.605185445144689,-0.42627653566790497,-4.784094354621473,-30.620980074369662,6.970414316853635e-07,0.0005008936361091358,-0.4040979906611801,True,Down,0.04877150090319567
P50238,CRIP1,Cysteine-rich protein 1,4.986427329223716,-1.7974288072478757,-4.290642471859734,0.6957848573639822,29.625576828667505,8.216420717133133e-07,0.0005008936361091358,-0.06850682562753962,True,Up,31.700360222943846
O94772,LY6H,Lymphocyte antigen 6H,-5.230858060532221,0.06911815370891139,2.6845471839750217,-2.546310876557199,-29.04967664206199,9.059393575316932e-07,0.0005008936361091358,0.06646589557829544,True,Down,0.026628997734609822
P49736,MCM2,DNA replication licensing factor MCM2,2.3145761735385157,1.4389210765072509,0.281632989737993,2.5962091632765087,27.698710032807487,1.148048483612385e-06,0.0005008936361091358,-1.4689885605840127,True,Up,4.974584994198233
A8MWY0,KIAA1324L,UPF0577 protein KIAA1324-like,2.272837724288011,-3.2420345301624534,-4.378453392306459,-2.105615668018448,27.563551298342563,1.176312850015293e-06,0.0005008936361091358,-1.495600350071028,True,Up,4.832727753167287
P16070,CD44,CD44 antigen,-4.818357937689059,1.4262174946456796,3.835396463490209,-0.9829614741988498,-27.317654448189618,1.2299051346253975e-06,0.0005008936361091358,0.02512997427513057,True,Down,0.03544293929601796
P50453,SERPINB9,Serpin B9,4.577092701377477,2.051787480875374,-0.23675886981336447,4.340333831564113,27.02507899469618,1.297534561794933e-06,0.0005008936361091358,-0.05607260224708448,True,Up,23.869438125206425
Q9Y662;Q9Y663;Q96QI5;Q9Y278;Q5TG30,HS3ST3B1;HS3ST3A1,Heparan sulfate glucosamine 3-O-sulfotransferase 3B1;Heparan sulfate glucosamine 3-O-sulfotransferase 3A1,4.231820713858899,-2.392114007522951,-4.5080243644524005,-0.2762036505935015,26.883477504140714,1.331863501263797e-06,0.0005008936361091358,-0.2024291585009901,True,Up,18.78905644665781
Q9UBC3,DNMT3B,DNA (cytosine-5)-methyltransferase 3B,6.013456326905219,-0.8885271747605212,-3.8952553382131305,2.118200988692088,26.798519294458007,1.3529830031888679e-06,0.0005008936361091358,0.5066360273239439,True,Up,64.59973434119625
P56373,P2RX3,P2X purinoceptor 3,3.9810491878808514,-2.0873643290755695,-4.077888923015995,-0.0968397351351437,26.267543932471696,1.4944665933658285e-06,0.000516388023561006,-0.27824747253789855,True,Up,15.791203117237375
P07305,H1F0,"Histone H1.0;Histone H1.0, N-terminally processed",2.9465011310328038,2.0193172194108513,0.5460666538944494,3.492567784927253,25.925585598199493,1.595007983912211e-06,0.0005166828987885619,-0.853893925324456,True,Up,7.708772387541528
P29762,CRABP1,Cellular retinoic acid-binding protein 1,4.2674635506543614,5.368541348261761,3.23480957293458,7.5022731235889415,24.918558272682894,1.941889756107429e-06,0.0005341369360285191,-0.03385646660933038,True,Up,19.259035520106114
O43795;Q9UBC5,MYO1B,Unconventional myosin-Ib,2.3411394505591,1.8683869367696435,0.6978172114900936,3.0389566620491935,24.719705599366208,2.020703303795557e-06,0.0005341369360285191,-1.218595994723912,True,Up,5.067026768823592
P50281,MMP14,Matrix metalloproteinase-14,-3.4451590413631994,-2.8027416285850046,-1.080162107903405,-4.525321149266604,-24.50737483391015,2.109131149952148e-06,0.0005341369360285191,-0.4286780928385739,True,Down,0.0918129176511037
Q9HCC8,GDPD2,Glycerophosphoinositol inositolphosphodiesterase GDPD2,-4.64799428464958,-2.096308195586784,0.22768894673800588,-4.420305337911574,-24.490450492055125,2.116377116223589e-06,0.0005341369360285191,0.17163498878095385,True,Down,0.03988543203488293
P27338,MAOB,Amine oxidase [flavin-containing] B,-4.051107201390341,2.851348008155517,4.876901608850687,0.8257944074603465,-24.380540955302855,2.164166632567799e-06,0.0005341369360285191,-0.0942602305322537,True,Down,0.06032470637971015
Q5T7N2,L1TD1,LINE-1 type transposase domain-containing protein 1,4.913355618606546,-1.773390500095307,-4.23006830939858,0.6832873092079659,23.926459089354623,2.375843042745629e-06,0.0005597270222977543,0.3292743650347035,True,Up,30.134738043323857
Q14699,RFTN1,Raftlin,-3.6935890042777166,-1.312827540591827,0.5339669615470312,-3.1596220427306854,-23.428837729383176,2.6370005765663507e-06,0.000580866941635323,-0.19940811950070292,True,Down,0.07728921886491388
P33991,MCM4,DNA replication licensing factor MCM4,2.198595224747592,1.8759299440824968,0.7766323317087007,2.975227556456293,23.2184756627215,2.7576712091637035e-06,0.000580866941635323,-1.2189294681875193,True,Up,4.590321573600531
Q9Y2J2,EPB41L3,"Band 4.1-like protein 3;Band 4.1-like protein 3, N-terminally processed",-2.2376785975841393,3.446463512414221,4.565302811206291,2.327624213622151,-23.14430402759712,2.8017892226284147e-06,0.000580866941635323,-1.1772894911821272,True,Down,0.2120272211472837
Q14764,MVP,Major vault protein,-2.3577613098889563,2.3676657783042683,3.5465464332487464,1.1887851233597904,-22.729995157317596,3.0643807480412733e-06,0.0005908848903617584,-1.0366157665410132,True,Down,0.19509364510538918
